项目名称,地区
上海世博展览馆,上海
上海中心,上海
上海博物馆东馆,上海
上海吴淞口国际邮轮码头,上海
上海崇明体育训练基地一期项目（1、2、3号楼）,上海
上海市第一人民医院改扩建工程,上海
上海棋院,上海
上海自然博物馆,上海
上海自行车馆,上海
上音歌剧院,上海
中国卫星网络集团有限公司雄安新区总部大楼,雄安
中国第二历史档案馆新馆项目,江苏
二里头遗址博物馆,河南
保利大剧院,上海
北京建筑大学新校区图书馆,北京
南开大学新校区环境科学与工程学院,天津
南开大学津南校区学生活动中心,天津
南沙国际金融论坛（IFF）永久会址,广东
古北SOHO,上海
同济大学新建嘉定校区体育中心项目,上海
同济科技园A楼,上海
咸阳市市民文化中心,陕西
哈大客专大连北站站房工程,辽宁
大同市北环路御河桥工程,山西
太保家园杭州国际颐养社区(一期),浙江
太原市摄乐大桥工程,山西
如东县体育中心体育馆,江苏
宁波院士中心,浙江
山东省美术馆,山东
援非盟会议中心,非洲
无锡大剧院,江苏
无锡阖闾城遗址博物馆,江苏
昆山市专业足球场,江苏
杨树浦电厂遗址公园,上海
椒江二桥,浙江
江苏省苏州实验中学原址重建项目,江苏
沃尔沃汽车（中国）研发中心建设项目（二期）,上海
浙江省公安指挥中心,浙江
深圳歌剧院,广东
滇海古渡大码头,云南
绿之丘,上海
苏州山峰双语学校,江苏
范曾艺术馆,江苏
西安丝路国际会议中心,陕西
西藏日喀则桑珠孜宗堡,西藏
西藏美术馆,西藏
郑州航空港站,河南
重庆西站,重庆
金融街海伦中心,上海
长沙国际会展中心 ,湖南
闸北久光,上海
隋唐大运河文化博物馆,河南
黄浦江南延伸段前滩地区Z000801编制单元36-01地块,上海
